Job Titles,Department
SERGEANT,DEPARTMENT OF POLICE
DEPUTY INSPECTOR GENERAL,IG
CHIEF FORENSIC DATA ANALYST,IG
HOISTING ENGINEER,DEPT STREETS AND SANITATION
HEAD LIBRARY CLERK,CHICAGO PUBLIC LIBRARY
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT
FIREFIGHTER-EMT,FIRE DEPARTMENT
POOL MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
SANITATION LABORER,DEPT STREETS AND SANITATION
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT
LINEMAN,CHICAGO DEPT OF TRANSPORTATION
SANITATION LABORER,DEPT STREETS AND SANITATION
POLICE OFFICER,DEPARTMENT OF POLICE
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT
SERGEANT,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
SERGEANT,DEPARTMENT OF POLICE
COMMUNITY INTERVENTION SPECIALIST,FAMILY AND SUPPORT SERVICES
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
FIREFIGHTER-EMT,FIRE DEPARTMENT
CONSTRUCTION LABORER,DEPT OF WATER MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
FIRE ENGINEER-EMT,FIRE DEPARTMENT
MACHINIST (AUTOMOTIVE),DAIS
POLICE OFFICER,DEPARTMENT OF POLICE
HOISTING ENGINEER,DEPT OF WATER MANAGEMENT
AMBULANCE COMMANDER,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
GENERAL LABORER - DSS,DEPT STREETS AND SANITATION
MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
SUPERVISING INVESTIGATOR-COPA,COPA
SERGEANT,DEPARTMENT OF POLICE
FIREFIGHTER-EMT,FIRE DEPARTMENT
SENIOR EMERGENCY MANAGEMENT COORD,OFFICE OF EMERGENCY MANAGEMENT
SERGEANT,DEPARTMENT OF POLICE
SERGEANT,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
SUPERVISING CLERK,CHICAGO PUBLIC LIBRARY
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT
CAPTAIN-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
FIRE ENGINEER-EMT,FIRE DEPARTMENT
STAFF ASST TO THE ALDERMAN,CITY COUNCIL
SERGEANT,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER-EMT,FIRE DEPARTMENT
CHIEF ASST CORPORATION COUNSEL,DEPARTMENT OF LAW
PARAMEDIC I/C,FIRE DEPARTMENT
TRAINING DIRECTOR,DEPARTMENT OF PUBLIC HEALTH
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
WATER CHEMIST II,DEPT OF WATER MANAGEMENT
CONSTRUCTION LABORER,DEPT OF WATER MANAGEMENT
SUPVSR OF 311 OPERATIONS,OFFICE OF EMERGENCY MANAGEMENT
WARRANT AND EXTRADITION AIDE,DEPARTMENT OF POLICE
CONSTRUCTION LABORER,DEPT OF WATER MANAGEMENT
LINEMAN - SALARIED,PUBLIC SAFETY ADMINISTRATION
COORD OF WAREHOUSE OPERATIONS,CHICAGO DEPT OF TRANSPORTATION
LIEUTENANT-EMT,FIRE DEPARTMENT
SERGEANT,DEPARTMENT OF POLICE
ADMINISTRATIVE SERVICES OFFICER I,PUBLIC SAFETY ADMINISTRATION
SUPPORT SERVICES COORD,FAMILY AND SUPPORT SERVICES
HR RECORDS SPECIALIST,DEPARTMENT OF HUMAN RESOURCES
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
SANITATION LABORER,DEPT STREETS AND SANITATION
MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
SIGN HANGER,CHICAGO DEPT OF TRANSPORTATION
ASSOCIATE HUMAN RESOURCES BUSINESS PARTNER-EXCLD,DEPT OF WATER MANAGEMENT
BRIDGE AND STRUCTURAL IRON WORKER,CHICAGO DEPT OF TRANSPORTATION
POLICE OFFICER,DEPARTMENT OF POLICE
EQUIPMENT DISPATCHER,DEPARTMENT OF AVIATION
POLICE OFFICER,DEPARTMENT OF POLICE
SERGEANT,DEPARTMENT OF POLICE
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY
MOTOR TRUCK DRIVER,DEPT OF WATER MANAGEMENT
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
CIVIL ENGINEER IV,DEPT OF WATER MANAGEMENT
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE
FIRE ENGINEER-EMT,FIRE DEPARTMENT
SUPERVISING BOOTER - PARKING,DEPARTMENT OF FINANCE
POLICE OFFICER,DEPARTMENT OF POLICE
SANITATION LABORER,DEPT STREETS AND SANITATION
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
PROGRAMMER/ANALYST,DAIS
SUPVSR OF CHILDREN SERVICES PROGRAMS,FAMILY AND SUPPORT SERVICES
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
SERGEANT,DEPARTMENT OF POLICE
ELECTRICAL MECHANIC,DAIS
FIRE ENGINEER-EMT,FIRE DEPARTMENT
AVIATION SECURITY OFFICER - HOURLY,DEPARTMENT OF AVIATION
DIR OF ACCOUNTING,DEPARTMENT OF FINANCE
POLICE OFFICER,DEPARTMENT OF POLICE
PLUMBER,DEPT OF WATER MANAGEMENT
FLEET SERVICES ASST,DAIS
POLICE OFFICER,DEPARTMENT OF POLICE
ASST GENERAL SUPT OF STREETS AND SANITATION,DEPT STREETS AND SANITATION
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
PORTFOLIO MANAGER,CITY TREASURER
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
MOTOR TRUCK DRIVER,DEPARTMENT OF AVIATION
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT
LAMP MAINTENANCE WORKER,CHICAGO DEPT OF TRANSPORTATION
PLUMBER,DEPT OF WATER MANAGEMENT
OPERATING ENGINEER-GROUP A,DAIS
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF AVIATION
FIREFIGHTER-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
CONSTRUCTION LABORER,DEPT OF WATER MANAGEMENT
ASPHALT FOREMAN,CHICAGO DEPT OF TRANSPORTATION
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
AIRPORT OPERATIONS SUPVSR I,DEPARTMENT OF AVIATION
POLICE ADMINISTRATIVE CLERK,DEPARTMENT OF POLICE
AIRPORT OPERATIONS SUPVSR I,DEPARTMENT OF AVIATION
SANITATION LABORER,DEPT STREETS AND SANITATION
POLICE OFFICER,DEPARTMENT OF POLICE
FIRE ENGINEER-EMT,FIRE DEPARTMENT
LIEUTENANT-EMT,FIRE DEPARTMENT
PARAMEDIC I/C,FIRE DEPARTMENT
CONSTRUCTION LABORER,DEPT OF WATER MANAGEMENT
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE
LABORER,DEPARTMENT OF AVIATION
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
CHIEF OPERATIONS ANALYST,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
FOREMAN OF CARPENTERS,DEPT OF WATER MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
SERGEANT,DEPARTMENT OF POLICE
HUMAN RESOURCES BUSINESS PARTNER-EXCLD,DEPARTMENT OF PLANNING AND DEVELOPMENT
POLICE ADMINISTRATIVE CLERK,DEPARTMENT OF POLICE
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),DEPARTMENT OF POLICE
ASSOCIATE STAFF ATTORNEY,BUS AFFAIRS AND CONSUMER PROT
SENIOR COMPANION,FAMILY AND SUPPORT SERVICES
MOTOR TRUCK DRIVER,DEPT OF WATER MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
CAPTAIN-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
MOTOR TRUCK DRIVER,CHICAGO DEPT OF TRANSPORTATION
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT
SENIOR CLERK-ELECTIONS,BOARD OF ELECTION COMMISSIONER
POLICE OFFICER,DEPARTMENT OF POLICE
TRAFFIC CONTROL AIDE-HOURLY,OFFICE OF EMERGENCY MANAGEMENT
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
POOL MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION
CARPENTER,DEPARTMENT OF AVIATION
LIEUTENANT-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
ASST COMMISSIONER,BUS AFFAIRS AND CONSUMER PROT
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER-EMT,FIRE DEPARTMENT
DIR OF PUBLIC AFFAIRS,OFFICE OF BUDGET & MANAGEMENT
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
MOTOR TRUCK DRIVER,DEPT OF WATER MANAGEMENT
LICENSING ENFORCEMENT AIDE - CITY CLERK,CITY CLERK
ADMINISTRATIVE ASST III,DEPT OF WATER MANAGEMENT
LIBRARY ASSOCIATE - HOURLY,CHICAGO PUBLIC LIBRARY
POLICE OFFICER,DEPARTMENT OF POLICE
SPECIAL ASST,OFFICE OF EMERGENCY MANAGEMENT
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE
POOL MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
DIR OF ACCOUNTING,DEPARTMENT OF FINANCE
COMMUNITY LIVING SPECIALIST,FAMILY AND SUPPORT SERVICES
SERGEANT,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
CAPTAIN-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
ACCOUNTANT,DEPARTMENT OF FINANCE
POLICE OFFICER,DEPARTMENT OF POLICE
DEPUTY COMMISSIONER,DEPT OF CULTURAL AFFAIRS
CIVIL ENGINEER V,DEPT OF WATER MANAGEMENT
MOTOR TRUCK DRIVER,DEPT OF WATER MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
COMMISSIONER OF BUILDINGS,DEPT OF BUILDINGS
ASST CHIEF OPERATING ENGINEER,DEPT OF WATER MANAGEMENT
OPERATING ENGINEER-GROUP A,DAIS
GENERAL LABORER - AVIATION,DEPARTMENT OF AVIATION
INVESTIGATOR,PUBLIC SAFETY ADMINISTRATION
HOISTING ENGINEER,DEPT OF WATER MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
STAFF ASST,CHICAGO DEPT OF TRANSPORTATION
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER-EMT,FIRE DEPARTMENT
DIR / COMMUNITY LIAISON,DEPARTMENT OF PUBLIC HEALTH
POLICE OFFICER,DEPARTMENT OF POLICE
FOREMAN OF HOISTING ENGINEERS,DEPT OF WATER MANAGEMENT
CONSTRUCTION LABORER,DEPT OF WATER MANAGEMENT
PROGRAM DIR,MAYORS OFFICE-DISABILITIES
LIEUTENANT,FIRE DEPARTMENT
SERGEANT,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF AVIATION
ELECTRICAL MECHANIC,DEPT OF WATER MANAGEMENT
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
POOL MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
POLICE OFFICER,DEPARTMENT OF POLICE
ALDERMANIC AIDE,CITY COUNCIL
POLICE OFFICER,DEPARTMENT OF POLICE
DIR OF ADMINISTRATIVE SERVICES,DEPARTMENT OF PUBLIC HEALTH
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
FOREMAN OF MOTOR TRUCK DRIVERS,DEPT STREETS AND SANITATION
SEWER BRICKLAYER,DEPT OF WATER MANAGEMENT
SENIOR LEGISLATIVE ASST,OFFICE OF THE MAYOR
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT
HOISTING ENGINEER,DEPT OF WATER MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
CASE LIAISON - COPA,COPA
MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
SERGEANT,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
BUSINESS CONSULTANT SUPERVISOR,BUS AFFAIRS AND CONSUMER PROT
CLERK IV - TIMEKEEPER,DEPT OF WATER MANAGEMENT
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
MACHINIST (AUTOMOTIVE),DAIS
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT
ASST CORPORATION COUNSEL SENIOR,DEPARTMENT OF LAW
POLICE OFFICER,DEPARTMENT OF POLICE
ELECTION EQUIPMENT & SUPPLY SPEC II,BOARD OF ELECTION COMMISSIONER
SERGEANT,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
YOUTH SERVICES COORD,FAMILY AND SUPPORT SERVICES
SENIOR COMPANION,FAMILY AND SUPPORT SERVICES
POOL MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
TRAFFIC ENFORCEMENT TECH,DEPARTMENT OF FINANCE
LABORER,CHICAGO DEPT OF TRANSPORTATION
ADMINISTRATIVE SERVICES OFFICER II,PUBLIC SAFETY ADMINISTRATION
FIREFIGHTER-EMT,FIRE DEPARTMENT
LIEUTENANT-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
PARAMEDIC I/C,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
ALDERMAN,CITY COUNCIL
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER-EMT,FIRE DEPARTMENT
FIREFIGHTER-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
GENERAL LABORER - DSS,DEPT STREETS AND SANITATION
POLICE OFFICER,DEPARTMENT OF POLICE
SERGEANT,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
PRINCIPAL OPERATIONS ANALYST,FAMILY AND SUPPORT SERVICES
CAPTAIN-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION
POLICE OFFICER,DEPARTMENT OF POLICE
ACCOUNTING TECHNICIAN,DEPARTMENT OF FINANCE
FIREFIGHTER-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
CAPTAIN-EMT,FIRE DEPARTMENT
CONSTRUCTION LABORER,DEPT OF WATER MANAGEMENT
FLEET SERVICES SUPVSR,DAIS
LIBRARY ASSOCIATE - HOURLY,CHICAGO PUBLIC LIBRARY
LIEUTENANT,DEPARTMENT OF POLICE
LIEUTENANT-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
CONCRETE LABORER,CHICAGO DEPT OF TRANSPORTATION
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
PARAMEDIC I/C,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
MOTOR TRUCK DRIVER,DEPT OF WATER MANAGEMENT
LABORER,DEPARTMENT OF AVIATION
HOISTING ENGINEER,DEPT OF WATER MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
FILTRATION ENGINEER IV,DEPT OF WATER MANAGEMENT
ASST TO THE ALDERMAN,CITY COUNCIL
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
MOTOR TRUCK DRIVER,DEPT OF WATER MANAGEMENT
CHIEF STOREKEEPER,DEPARTMENT OF AVIATION
ASST CORPORATION COUNSEL III,DEPARTMENT OF LAW
POLICE OFFICER,DEPARTMENT OF POLICE
PARAMEDIC,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
SERGEANT,DEPARTMENT OF POLICE
LIBRARY ASSOCIATE,CHICAGO PUBLIC LIBRARY
MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
ASPHALT LABORER,CHICAGO DEPT OF TRANSPORTATION
POLICE OFFICER (ASSIGNED AS TRAFFIC SPECIALIST),DEPARTMENT OF POLICE
SERGEANT,DEPARTMENT OF POLICE
DIR OF PUBLIC AFFAIRS,DEPT OF BUILDINGS
FOSTER GRANDPARENT,FAMILY AND SUPPORT SERVICES
POLICE OFFICER,DEPARTMENT OF POLICE
DEPUTY COMMISSIONER,DEPT STREETS AND SANITATION
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
BATTALION CHIEF - EMT,FIRE DEPARTMENT
POOL MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
LIEUTENANT-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
GENERAL LABORER - DSS,DEPT STREETS AND SANITATION
POLICE OFFICER,DEPARTMENT OF POLICE
LIBRARIAN II,CHICAGO PUBLIC LIBRARY
ASST CORPORATION COUNSEL SUPVSR,DEPARTMENT OF LAW
POLICE OFFICER,DEPARTMENT OF POLICE
FOREMAN OF LINEMEN,CHICAGO DEPT OF TRANSPORTATION
SERGEANT,DEPARTMENT OF POLICE
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT
CIVIL ENGINEER IV,DEPT OF WATER MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
PARAMEDIC,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
SERGEANT,DEPARTMENT OF POLICE
ELECTRICAL MECHANIC,DEPT OF WATER MANAGEMENT
OPERATING ENGINEER-GROUP C,DEPARTMENT OF AVIATION
LABORER,CHICAGO DEPT OF TRANSPORTATION
LABORER,CHICAGO DEPT OF TRANSPORTATION
FIRE ENGINEER-EMT,FIRE DEPARTMENT
PARAMEDIC,FIRE DEPARTMENT
DIR OF PROGRAM OPERATIONS,DEPARTMENT OF PUBLIC HEALTH
FIREFIGHTER,FIRE DEPARTMENT
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT
POLICE ADMINISTRATIVE CLERK,DEPARTMENT OF POLICE
DATA ENTRY OPERATOR,DEPT OF WATER MANAGEMENT
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT
EQUIPMENT DISPATCHER,DEPARTMENT OF AVIATION
POLICE OFFICER,DEPARTMENT OF POLICE
SENIOR COMPANION,FAMILY AND SUPPORT SERVICES
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION
SERVICE WRITER,DAIS
LIEUTENANT-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION
ELECTRICAL MECHANIC,DEPT OF WATER MANAGEMENT
MACHINIST (AUTOMOTIVE),DAIS
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT
PARAMEDIC I/C,FIRE DEPARTMENT
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
SENIOR DATA ENTRY OPERATOR,FIRE DEPARTMENT
PARAMEDIC I/C,FIRE DEPARTMENT
LIBRARY ASSOCIATE - HOURLY,CHICAGO PUBLIC LIBRARY
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER-EMT,FIRE DEPARTMENT
FIREFIGHTER-EMT,FIRE DEPARTMENT
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
SUPVSR OF ELECTRICAL INSPECTORS,DEPT OF BUILDINGS
MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
MACHINIST (AUTOMOTIVE),DAIS
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
BUSINESS COMPLIANCE INVESTIGATOR,BUS AFFAIRS AND CONSUMER PROT
POLICE OFFICER,DEPARTMENT OF POLICE
CONSTRUCTION LABORER,DEPT OF WATER MANAGEMENT
SENIOR TELECOMMUNICATIONS SPECIALIST,PUBLIC SAFETY ADMINISTRATION
POLICE OFFICER,DEPARTMENT OF POLICE
POOL MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
LIEUTENANT,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POOL MOTOR TRUCK DRIVER,CHICAGO DEPT OF TRANSPORTATION
POLICE ADMINISTRATIVE CLERK,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE
LINEMAN,CHICAGO DEPT OF TRANSPORTATION
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE
DEPUTY CHIEF OF STAFF,OFFICE OF THE MAYOR
CONCRETE LABORER,CHICAGO DEPT OF TRANSPORTATION
LIBRARY PAGE,CHICAGO PUBLIC LIBRARY
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
ASST COMMUNITY LIVING SPECIALIST,FAMILY AND SUPPORT SERVICES
POOL MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT
FIREFIGHTER-EMT,FIRE DEPARTMENT
BLACKSMITH,DAIS
MACHINIST (AUTOMOTIVE),DAIS
PARAMEDIC,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
ALDERMANIC AIDE,CITY COUNCIL
LIEUTENANT-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
SUPERVISING SANITARIAN,DEPARTMENT OF PUBLIC HEALTH
POLICE OFFICER,DEPARTMENT OF POLICE
LANDSIDE OPERATION MANAGER,DEPARTMENT OF AVIATION
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER-EMT,FIRE DEPARTMENT
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT
SERGEANT,DEPARTMENT OF POLICE
LIBRARY PAGE,CHICAGO PUBLIC LIBRARY
CONSTRUCTION LABORER,DEPT OF WATER MANAGEMENT
POLICE OFFICER,DEPARTMENT OF POLICE
MACHINIST,DEPT OF WATER MANAGEMENT
MACHINIST (AUTOMOTIVE),DAIS
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
PARAMEDIC I/C,FIRE DEPARTMENT
SERGEANT,DEPARTMENT OF POLICE
FIRE ENGINEER-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT
DISPATCH CLERK I/C,DEPARTMENT OF FINANCE
POLICE OFFICER,DEPARTMENT OF POLICE
AIRPORT OPERATIONS SUPVSR I,DEPARTMENT OF AVIATION
CHIEF BUILDING/CONSTRUCT INSPECTOR,DEPT OF BUILDINGS
DEPUTY MAYOR,OFFICE OF THE MAYOR
FIREFIGHTER (PER ARBITRATORS AWARD)-EMT,FIRE DEPARTMENT
POLICE OFFICER,DEPARTMENT OF POLICE
LIBRARIAN III,CHICAGO PUBLIC LIBRARY
ELECTRICAL MECHANIC,DEPARTMENT OF AVIATION
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS
PLUMBER,DAIS
FINGERPRINT TECHNICIAN III,DEPARTMENT OF POLICE
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF AVIATION
ADMINISTRATIVE SERVICES OFFICER I,PUBLIC SAFETY ADMINISTRATION
FIELD SANITATION INVESTIGATOR,DEPT STREETS AND SANITATION
POLICE OFFICER,DEPARTMENT OF POLICE
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT
SENIOR LIBRARY CLERK,CHICAGO PUBLIC LIBRARY
SANITATION LABORER,DEPT STREETS AND SANITATION
POOL MOTOR TRUCK DRIVER,DEPT STREETS AND SANITATION
SENIOR DATA BASE ANALYST,DAIS
